"materialsar","materialsen","quantityar","quantityen","quarterar","quarteren","yearar","yearen","average_pricesar","average_pricesen"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2019","2019","3.65","3.65"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2019","2019","248.50","248.50"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2019","2019","254.54","254.54"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2019","2019","2086.15","2086.15"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2019","2019","2007.40","2007.40"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2019","2019","55.56","55.56"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2019","2019","78.14","78.14"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2019","2019","100.34","100.34"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2020","2020","15.69","15.69"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2020","2020","14.18","14.18"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2020","2020","36.40","36.40"
"الجير","Lime","","","Q1","Q1","2020","2020","15.75","15.75"
"الجبس","Gypsum","","","Q1","Q1","2020","2020","7.82","7.82"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2020","2020","1138.33","1138.33"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2020","2020","1138.33","1138.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2020","2020","1318.17","1318.17"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2020","2020","763.33","763.33"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2020","2020","1061.67","1061.67"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2020","2020","542.50","542.50"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2020","2020","2.11","2.11"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2020","2020","2.32","2.32"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2020","2020","2.55","2.55"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2020","2020","3.16","3.16"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2020","2020","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2020","2020","3.60","3.60"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2020","2020","246.36","246.36"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2020","2020","248.70","248.70"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2020","2020","2184.00","2184.00"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2020","2020","2073.17","2073.17"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2020","2020","59.44","59.44"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2020","2020","82.98","82.98"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2020","2020","103.57","103.57"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2020","2020","15.27","15.27"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2020","2020","14.09","14.09"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2020","2020","36.28","36.28"
"الجير","Lime","","","Q2","Q2","2020","2020","15.75","15.75"
"الجبس","Gypsum","","","Q2","Q2","2020","2020","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2020","2020","1115.00","1115.00"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2020","2020","1115.00","1115.00"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2020","2020","1311.17","1311.17"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2020","2020","763.33","763.33"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2020","2020","1061.67","1061.67"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2020","2020","542.50","542.50"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2020","2020","2.02","2.02"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2020","2020","2.23","2.23"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2020","2020","2.46","2.46"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2020","2020","3.06","3.06"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2020","2020","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2020","2020","3.51","3.51"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2020","2020","236.25","236.25"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2020","2020","244.28","244.28"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2020","2020","2018.75","2018.75"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2020","2020","1898.02","1898.02"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2020","2020","55.91","55.91"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2020","2020","78.40","78.40"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2020","2020","97.45","97.45"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2020","2020","14.79","14.79"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2020","2020","13.39","13.39"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2020","2020","35.82","35.82"
"الجير","Lime","","","Q3","Q3","2020","2020","15.75","15.75"
"الجبس","Gypsum","","","Q3","Q3","2020","2020","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2020","2020","1103.33","1103.33"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2020","2020","1103.33","1103.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2020","2020","1307.67","1307.67"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2020","2020","763.33","763.33"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2020","2020","1061.67","1061.67"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2020","2020","542.50","542.50"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2020","2020","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2020","2020","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2020","2020","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2020","2020","2.94","2.94"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2020","2020","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2020","2020","3.40","3.40"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2020","2020","231.03","231.03"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2020","2020","240.98","240.98"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2020","2020","2065.00","2065.00"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2020","2020","1936.67","1936.67"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2020","2020","57.63","57.63"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2020","2020","79.68","79.68"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2020","2020","99.98","99.98"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2020","2020","14.79","14.79"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2020","2020","13.13","13.13"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2020","2020","35.82","35.82"
"الجير","Lime","","","Q4","Q4","2020","2020","15.75","15.75"
"الجبس","Gypsum","","","Q4","Q4","2020","2020","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2020","2020","1097.50","1097.50"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2020","2020","1097.50","1097.50"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2020","2020","1300.67","1300.67"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2020","2020","763.33","763.33"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2020","2020","1061.67","1061.67"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2020","2020","542.50","542.50"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2020","2020","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2020","2020","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2020","2020","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2020","2020","2.94","2.94"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2020","2020","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2020","2020","3.40","3.40"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2020","2020","229.56","229.56"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2020","2020","238.37","238.37"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2020","2020","2339.17","2339.17"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2020","2020","2181.67","2181.67"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2020","2020","62.48","62.48"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2020","2020","85.40","85.40"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2020","2020","107.92","107.92"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2021","2021","14.79","14.79"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2021","2021","12.96","12.96"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2021","2021","34.71","34.71"
"الجير","Lime","","","Q1","Q1","2021","2021","15.75","15.75"
"الجبس","Gypsum","","","Q1","Q1","2021","2021","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2021","2021","1091.39","1091.39"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2021","2021","1091.39","1091.39"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2021","2021","1292.22","1292.22"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2021","2021","793.33","793.33"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2021","2021","1085.28","1085.28"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2021","2021","601.67","601.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2021","2021","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2021","2021","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2021","2021","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2021","2021","2.94","2.94"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2021","2021","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2021","2021","3.40","3.40"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2021","2021","219.27","219.27"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2021","2021","231.83","231.83"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2021","2021","2846.55","2846.55"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2021","2021","2735.89","2735.89"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2021","2021","76.35","76.35"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2021","2021","102.46","102.46"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2021","2021","131.32","131.32"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2021","2021","14.93","14.93"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2021","2021","12.34","12.34"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2021","2021","35.35","35.35"
"الجير","Lime","","","Q2","Q2","2021","2021","15.75","15.75"
"الجبس","Gypsum","","","Q2","Q2","2021","2021","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2021","2021","1147.78","1147.78"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2021","2021","1147.78","1147.78"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2021","2021","1263.33","1263.33"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2021","2021","805.56","805.56"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2021","2021","1100.83","1100.83"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2021","2021","601.67","601.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2021","2021","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2021","2021","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2021","2021","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2021","2021","2.94","2.94"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2021","2021","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2021","2021","3.40","3.40"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2021","2021","205.64","205.64"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2021","2021","211.10","211.10"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2021","2021","3076.39","3076.39"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2021","2021","2943.68","2943.68"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2021","2021","81.41","81.41"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2021","2021","112.44","112.44"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2021","2021","139.68","139.68"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2021","2021","14.75","14.75"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2021","2021","11.81","11.81"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2021","2021","34.94","34.94"
"الجير","Lime","","","Q3","Q3","2021","2021","15.75","15.75"
"الجبس","Gypsum","","","Q3","Q3","2021","2021","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2021","2021","1168.33","1168.33"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2021","2021","1168.33","1168.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2021","2021","1341.11","1341.11"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2021","2021","830.00","830.00"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2021","2021","1100.83","1100.83"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2021","2021","601.67","601.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2021","2021","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2021","2021","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2021","2021","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2021","2021","2.94","2.94"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2021","2021","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2021","2021","3.40","3.40"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2021","2021","200.03","200.03"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2021","2021","203.57","203.57"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2021","2021","3054.29","3054.29"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2021","2021","2930.70","2930.70"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2021","2021","79.16","79.16"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2021","2021","112.44","112.44"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2021","2021","141.00","141.00"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2021","2021","14.79","14.79"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2021","2021","11.11","11.11"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2021","2021","34.83","34.83"
"الجير","Lime","","","Q4","Q4","2021","2021","15.75","15.75"
"الجبس","Gypsum","","","Q4","Q4","2021","2021","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2021","2021","1168.33","1168.33"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2021","2021","1168.33","1168.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2021","2021","1286.67","1286.67"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2021","2021","830.00","830.00"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2021","2021","1100.83","1100.83"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2021","2021","626.67","626.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2021","2021","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2021","2021","2.14","2.14"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2021","2021","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2021","2021","2.94","2.94"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q4","Q4","2021","2021","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q4","Q4","2021","2021","3.40","3.40"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q4","Q4","2021","2021","195.95","195.95"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q4","Q4","2021","2021","198.81","198.81"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q4","Q4","2021","2021","2829.87","2829.87"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q4","Q4","2021","2021","2703.11","2703.11"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q4","Q4","2021","2021","74.75","74.75"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q4","Q4","2021","2021","109.34","109.34"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q4","Q4","2021","2021","131.38","131.38"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2022","2022","14.53","14.53"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2022","2022","11.15","11.15"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2022","2022","34.83","34.83"
"الجير","Lime","","","Q1","Q1","2022","2022","15.75","15.75"
"الجبس","Gypsum","","","Q1","Q1","2022","2022","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2022","2022","1179.44","1179.44"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2022","2022","1179.44","1179.44"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2022","2022","1296.67","1296.67"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2022","2022","830.00","830.00"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2022","2022","1100.83","1100.83"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2022","2022","626.67","626.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2022","2022","1.95","1.95"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2022","2022","2.16","2.16"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2022","2022","2.37","2.37"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2022","2022","2.97","2.97"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2022","2022","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2022","2022","3.42","3.42"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2022","2022","206.12","206.12"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2022","2022","213.96","213.96"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2022","2022","3103.70","3103.70"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2022","2022","2986.39","2986.39"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2022","2022","76.55","76.55"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2022","2022","106.55","106.55"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2022","2022","142.13","142.13"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2022","2022","14.79","14.79"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2022","2022","11.46","11.46"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2022","2022","34.53","34.53"
"الجير","Lime","","","Q2","Q2","2022","2022","15.75","15.75"
"الجبس","Gypsum","","","Q2","Q2","2022","2022","8.05","8.05"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2022","2022","1223.33","1223.33"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2022","2022","1223.33","1223.33"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2022","2022","1383.33","1383.33"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2022","2022","793.33","793.33"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2022","2022","1116.67","1116.67"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2022","2022","606.67","606.67"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2022","2022","2.00","2.00"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2022","2022","2.21","2.21"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2022","2022","2.42","2.42"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2022","2022","3.01","3.01"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2022","2022","3.42","3.42"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2022","2022","3.47","3.47"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2022","2022","218.38","218.38"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2022","2022","229.83","229.83"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2022","2022","3363.89","3363.89"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2022","2022","3233.17","3233.17"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2022","2022","82.43","82.43"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2022","2022","115.02","115.02"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2022","2022","158.17","158.17"
